date,stock,value,change
2019-10-08,AMD,25.77,-0.022753128555176416
2019-10-08,ISHARES DIGITAL ETF,5.97,-0.009950248756218971
2019-10-09,ISHARES DIGITAL ETF,5.98,0.0016750418760469454
2019-10-09,AMD,25.93,0.0062087698874659925
2019-10-10,AMD,25.78,-0.005784805244890001
2019-10-10,ISHARES DIGITAL ETF,6.0,0.0033444816053511683
2019-10-11,ISHARES DIGITAL ETF,6.09,0.014999999999999902
2019-10-11,AMD,26.93,0.044608223429014604
2019-10-14,AMD,27.7,0.028592647604901655
2019-10-14,ISHARES DIGITAL ETF,6.06,-0.0049261083743842304
2019-10-15,ISHARES DIGITAL ETF,6.09,0.004950495049504955
2019-10-15,AMD,27.84,0.005054151624548808
2019-10-16,ISHARES DIGITAL ETF,6.06,-0.0049261083743842304
2019-10-16,AMD,27.82,-0.0007183908045976795
2019-10-17,ISHARES DIGITAL ETF,6.06,0.0
2019-10-17,AMD,28.0,0.006470165348670065
2019-10-18,ISHARES DIGITAL ETF,5.99,-0.011551155115511413
2019-10-18,AMD,27.75,-0.008928571428571397
2019-10-19,ISHARES DIGITAL ETF,6.0,0.0016694490818029983
2019-10-20,ISHARES DIGITAL ETF,5.99,-0.0016666666666665941
2019-10-21,AMD,28.74,0.03567567567567553
2019-10-21,ISHARES DIGITAL ETF,6.04,0.008347245409014992
2019-10-22,ISHARES DIGITAL ETF,5.99,-0.008278145695364225
2019-10-22,AMD,28.3,-0.015309672929714635
2019-10-23,ISHARES DIGITAL ETF,5.99,0.0
2019-10-23,AMD,28.16,-0.004946996466431153
2019-10-24,ISHARES DIGITAL ETF,6.06,0.011686143572620988
2019-10-24,AMD,28.58,0.014914772727272707
2019-10-25,AMD,29.52,0.03289013296011212
2019-10-25,ISHARES DIGITAL ETF,6.1,0.0066006600660066805
2019-10-26,ISHARES DIGITAL ETF,6.1,0.0
2019-10-27,ISHARES DIGITAL ETF,6.12,0.003278688524590345
2019-10-28,AMD,30.38,0.029132791327913354
2019-10-28,ISHARES DIGITAL ETF,6.15,0.004901960784313708
2019-10-29,AMD,30.21,-0.0055957867017774054
2019-10-29,ISHARES DIGITAL ETF,6.12,-0.004878048780487809
2019-10-30,AMD,29.58,-0.020854021847070636
2019-10-31,ISHARES DIGITAL ETF,6.07,-0.008169934640522847
2019-10-31,AMD,30.45,0.02941176470588247
2019-11-01,AMD,31.25,0.026272577996715896
2019-11-01,ISHARES DIGITAL ETF,6.13,0.009884678747940523
2019-11-02,ISHARES DIGITAL ETF,6.13,0.0
2019-11-04,AMD,32.61,0.04352
2019-11-04,ISHARES DIGITAL ETF,6.16,0.004893964110929794
2019-11-05,AMD,32.65,0.0012266176019626318
2019-11-05,ISHARES DIGITAL ETF,6.18,0.0032467532467532756
2019-11-06,ISHARES DIGITAL ETF,6.16,-0.003236245954692518
2019-11-06,AMD,32.45,-0.006125574272587975
2019-11-07,AMD,32.84,0.012018489984591652
2019-11-07,ISHARES DIGITAL ETF,6.21,0.008116883116883189
2019-11-08,ISHARES DIGITAL ETF,6.22,0.0016103059581320522
2019-11-08,AMD,32.93,0.0027405602923262773
2019-11-09,ISHARES DIGITAL ETF,6.22,0.0
2019-11-11,ISHARES DIGITAL ETF,6.21,-0.001607717041800627
2019-11-11,AMD,32.91,-0.000607348921955797
2019-11-12,ISHARES DIGITAL ETF,6.23,0.0032206119162641045
2019-11-12,AMD,33.33,0.012762078395624377
2019-11-13,ISHARES DIGITAL ETF,6.23,0.0
2019-11-13,AMD,34.08,0.022502250225022502
2019-11-14,AMD,34.8,0.021126760563380254
2019-11-14,ISHARES DIGITAL ETF,6.24,0.0016051364365969878
2019-11-15,AMD,34.88,0.0022988505747127963
2019-11-15,ISHARES DIGITAL ETF,6.23,-0.0016025641025640969
2019-11-16,ISHARES DIGITAL ETF,6.23,0.0
2019-11-17,ISHARES DIGITAL ETF,6.23,0.0
2019-11-18,ISHARES DIGITAL ETF,6.24,0.0016051364365969878
2019-11-18,AMD,36.02,0.03268348623853212
2019-11-19,AMD,37.26,0.034425319267073595
2019-11-19,ISHARES DIGITAL ETF,6.2,-0.0064102564102563875
2019-11-20,AMD,36.99,-0.007246376811594124
2019-11-20,ISHARES DIGITAL ETF,6.23,0.004838709677419395
2019-11-21,AMD,35.72,-0.03433360367666949
2019-11-21,ISHARES DIGITAL ETF,6.2,-0.0048154093097914075
2019-11-22,AMD,35.5,-0.006159014557670761
2019-11-22,ISHARES DIGITAL ETF,6.25,0.008064516129032251
2019-11-23,ISHARES DIGITAL ETF,6.25,0.0
2019-11-24,ISHARES DIGITAL ETF,6.24,-0.0015999999999999348
2019-11-25,AMD,36.14,0.01802816901408444
2019-11-25,ISHARES DIGITAL ETF,6.36,0.019230769230769162
2019-11-26,ISHARES DIGITAL ETF,6.36,0.0
2019-11-26,AMD,35.35,-0.021859435528500226
2019-11-27,AMD,35.82,0.013295615275813244
2019-11-27,ISHARES DIGITAL ETF,6.33,-0.004716981132075526
2019-11-28,ISHARES DIGITAL ETF,6.38,0.00789889415481837
2019-11-28,AMD,35.58,-0.006700167504187671
2019-11-29,AMD,35.52,-0.001686340640809303
2019-11-29,ISHARES DIGITAL ETF,6.34,-0.006269592476489061
2019-12-02,AMD,34.94,-0.016328828828829023
2019-12-02,ISHARES DIGITAL ETF,6.19,-0.023659305993690816
2019-12-03,ISHARES DIGITAL ETF,6.16,-0.004846526655896688
2019-12-03,AMD,35.09,0.004293073840870187
2019-12-04,AMD,35.82,0.020803647762895228
2019-12-04,ISHARES DIGITAL ETF,6.21,0.008116883116883189
2019-12-05,AMD,35.69,-0.003629257398101715
2019-12-05,ISHARES DIGITAL ETF,6.22,0.0016103059581320522
2019-12-06,ISHARES DIGITAL ETF,6.3,0.012861736334405238
2019-12-06,AMD,35.82,0.0036424768842813204
2019-12-07,ISHARES DIGITAL ETF,6.3,0.0
2019-12-08,ISHARES DIGITAL ETF,6.3,0.0
2019-12-09,AMD,35.17,-0.01814628699050802
2019-12-09,ISHARES DIGITAL ETF,6.26,-0.006349206349206327
2019-12-10,AMD,35.54,0.010520329826556596
2019-12-10,ISHARES DIGITAL ETF,6.17,-0.014376996805111841
2019-12-11,AMD,35.42,-0.003376477208778761
2019-12-11,ISHARES DIGITAL ETF,6.19,0.0032414910858995505
2019-12-12,ISHARES DIGITAL ETF,6.2,0.001615508885298933
2019-12-12,AMD,38.28,0.08074534161490687
2019-12-13,AMD,37.01,-0.033176593521421216
2019-12-13,ISHARES DIGITAL ETF,6.23,0.004838709677419395
2019-12-14,ISHARES DIGITAL ETF,6.23,0.0
2019-12-15,ISHARES DIGITAL ETF,6.2,-0.0048154093097914075
2019-12-16,AMD,37.97,0.025938935422858744
2019-12-16,ISHARES DIGITAL ETF,6.29,0.014516129032257963
2019-12-17,AMD,38.37,0.010534632604687788
2019-12-17,ISHARES DIGITAL ETF,6.27,-0.0031796502384738856
2019-12-18,AMD,38.05,-0.00833984884023975
2019-12-18,ISHARES DIGITAL ETF,6.28,0.0015948963317384823
2019-12-19,AMD,38.5,0.01182654402102501
2019-12-19,ISHARES DIGITAL ETF,6.31,0.004777070063694211
2019-12-20,AMD,39.86,0.0353246753246752
2019-12-20,ISHARES DIGITAL ETF,6.33,0.0031695721077655836
2019-12-23,ISHARES DIGITAL ETF,6.35,0.0031595576619272148
2019-12-23,AMD,40.99,0.028349222277972874
2019-12-27,AMD,41.31,0.007806782141985824
2019-12-27,ISHARES DIGITAL ETF,6.36,0.0015748031496063408
2019-12-29,ISHARES DIGITAL ETF,6.34,-0.003144654088050425
2019-12-30,AMD,41.26,-0.0012103606874849238
2019-12-30,ISHARES DIGITAL ETF,6.41,0.011041009463722551
2020-01-02,ISHARES DIGITAL ETF,6.43,0.0031201248049921304
2020-01-02,AMD,43.94,0.06495395055744058
2020-01-03,ISHARES DIGITAL ETF,6.36,-0.010886469673405785
2020-01-03,AMD,43.53,-0.0093309057806098
2020-01-04,ISHARES DIGITAL ETF,6.35,-0.0015723270440252124
2020-01-05,ISHARES DIGITAL ETF,6.36,0.0015748031496063408
2020-01-06,AMD,43.23,-0.00689179875947632
2020-01-06,ISHARES DIGITAL ETF,6.35,-0.0015723270440252124
2020-01-07,AMD,43.29,0.001387925052047212
2020-01-07,ISHARES DIGITAL ETF,6.41,0.009448818897637823
2020-01-08,ISHARES DIGITAL ETF,6.43,0.0031201248049921304
2020-01-08,AMD,43.05,-0.005544005544005581
2020-01-09,AMD,44.08,0.02392566782810679
2020-01-09,ISHARES DIGITAL ETF,6.53,0.015552099533437058
2020-01-10,ISHARES DIGITAL ETF,6.53,0.0
2020-01-10,AMD,43.31,-0.017468239564428223
2020-01-12,ISHARES DIGITAL ETF,6.48,-0.007656967840734996
2020-01-13,AMD,43.75,0.010159316555067965
2020-01-13,ISHARES DIGITAL ETF,6.57,0.01388888888888884
2020-01-14,AMD,43.31,-0.010057142857142765
2020-01-14,ISHARES DIGITAL ETF,6.56,-0.0015220700152207556
2020-01-15,AMD,43.52,0.004848764719464382
2020-01-15,ISHARES DIGITAL ETF,6.55,-0.0015243902439023849
2020-01-16,AMD,44.67,0.026424632352941124
